,Time,Sentiment,Price
0,20171113,0.380219439,6570
1,20171112,0.380219439,6241
2,20171111,0.380219439,6079.3
3,20171110,0.380219439,6704.1
4,20171109,0.380219439,7195
5,20171108,0.380219439,7376.9
6,20171107,0.380219439,7364.3
7,20171106,0.380219439,7186.8
8,20171105,0.380219439,7316.7
9,20171104,0.380219439,7489.9
10,20171103,0.380219439,7191
11,20171102,0.380219439,7210.1
12,20171101,0.380219439,6657.3
13,20171031,0.380219439,6406.5
14,20171030,0.380219439,6135.3
15,20171029,0.380219439,6125
16,20171028,0.380219439,5795
17,20171027,0.380219439,5768.1
18,20171026,0.380219439,5895
19,20171025,0.380219439,5735
20,20171024,0.380219439,5470
21,20171023,0.380219439,5820.5
22,20171022,0.380219439,5996
23,20171021,0.380219439,5861.7
24,20171020,0.380219439,6080
25,20171019,0.380219439,5691.4
26,20171018,0.380219439,5572.3
27,20171017,0.380219439,5372.2
28,20171016,0.380219439,5637.6
29,20171015,0.380219439,5661
30,20171014,0.380219439,5739.9
31,20171013,0.380219439,5585.7
32,20171012,0.380219439,5511.7
33,20171011,0.380219439,4896.9
34,20171010,0.380219439,4764.1
35,20171009,0.380219439,4827
36,20171008,0.380219439,4561
37,20171007,0.380219439,4463.6
38,20171006,0.380219439,4345
39,20171005,0.380219439,4394.7
40,20171004,0.380219439,4157.6
41,20171003,0.380219439,4332.3
42,20171002,0.250591169,4292
43,20171001,0.288304398,4409
44,20170930,0.228711091,4315
45,20170929,0.380627826,4244.9
46,20170928,0.24809526,4051.8
47,20170927,0.262542908,4197.9
48,20170926,0.262542908,3933.6
49,20170925,0.347151782,3886.7
50,20170924,0.306904282,3773
51,20170923,0.227405684,3659.9
52,20170922,0.076735609,3712.9
53,20170921,0.318641544,3753.2
54,20170920,0.318641544,3871.9
55,20170919,0.198097131,3944.9
56,20170918,0.304953621,3969.2
57,20170917,0.292749113,3900
58,20170916,0.259677689,3643.2
59,20170915,0.252845111,3789.9
60,20170914,0.097394571,3167.3
61,20170913,0.160798287,3830.6
62,20170912,0.255918459,4020.8
63,20170911,0.346772363,4347.7
64,20170910,0.291762089,4184.1
65,20170909,0.337060285,4280.1
66,20170908,0.110189492,4436.6
67,20170907,0.240134391,4621.7
68,20170906,0.175873816,4538.7
69,20170905,0.258582153,4510.5
70,20170904,0.336315921,4337.3
71,20170903,0.345209144,4566.7
72,20170902,0.410246839,4660
73,20170901,0.349616413,4750
74,20170831,0.371981771,4713.3
75,20170830,0.253942886,4610.2
76,20170829,0.218746769,4604
77,20170828,0.218746769,4371.2
78,20170827,0.359805707,4265.5
