Close,Timestamp,High,Low,Open,g,Gold
225,1424373000,,,,1216.6,1207.1
240.25,1424459400,,,,1223.7,1204.4
245,1424545800,,,,1221.3,1200.3
235.5,1424632200,,,,1222.2,1196.9
235.000026,1424718600,,,,1225.3,1201
238.0000378,1424805000,,,,1233,1209.6
237.75,1424891400,,,,1225.3,1212.6
238.5,1424977800,,,,1224,1207.7
249,1425064200,,,,1229.5,1204
240,1425150600,,,,1222.4,1200.6
251,1425237000,,,,1226.3,1195.9
251,1425323400,,,,1225.7,1164.1
258.875,1425409800,,,,1238.1,1166.4
258.875,1425496200,,,,1239.6,1160.1
277.02,1425582600,,,,1245,1150.7
270.002,1425669000,,,,1242.8,1152.1
260.0000052,1425755400,,,,1253.8,1152.6
275.002,1425841800,,,,1258.1,1153.3
262.59,1425928200,,,,1254.3,1148.3
291,1426014600,,,,1257.3,1151.4
288.000106,1426101000,,,,1258.1,1169.1
276.0000011,1426187400,,,,1251.6,1184.8
300.9999995,1426273800,,,,1239.8,1188
275.1,1426360200,,,,1251.3,1191.7
282.1080004,1426446600,,,,1247.8,1197.3
275,1426533000,,,,1252.8,1205.1
275,1426619400,,,,1256.6,1199.8
275,1426705800,,,,1265.6,1184.8
254.79,1426792200,,,,1267.4,1183.1
265.9749847,1426878600,,,,1267.2,1208.1
263.1929826,1426965000,,,,1271.2,1200.9
265.5608309,1427051400,,,,1275.6,1200.9
260.6735114,1427137800,,,,1276.2,1218.6
244.9363834,1427224200,,,,1274.6,1210.6
253.3073061,1427310600,,,,1304,1203.1
242.5255,1427397000,,,,1296.9,1193.6
242.9175,1427483400,,,,1295.1,1204.6
249.2215427,1427569800,,,,1298.9,1199.3
247.96933,1427656200,,,,1298.1,1192.8
252.4187125,1427742600,,,,1298.7,1201.5
242.5255,1427829000,,,,1297.1,1198
249,1427915400,,,,1297.5,1202.9
253.072642,1428001800,,,,1293.1,1193.5
253.5,1428088200,,,,1294.8,1202.9
254.4271767,1428174600,,,,1300.1,1186.9
254.6962218,1428261000,,,,1301.5,1194.4
254.6962218,1428347400,,,,1298.7,1175.2
257.80755,1428433800,,,,1297.6,1203.3
246.8058197,1428520200,,,,1298.3,1214
248.7637665,1428606600,,,,1303.3,1209.8
235.15,1428693000,,,,1303.7,1182.4
236.2850666,1428779400,,,,1289.3,1174.5
232.05,1428865800,,,,1291.7,1186.8
245.9999999,1428952200,,,,1290.2,1193.2
218.06,1429038600,,,,1290.2,1190.3
219,1429125000,,,,1288.2,1182.4
229.5778981,1429211400,,,,1290.2,1189.1
224.1824375,1429297800,,,,1288.9,1183.2
221.5,1429384200,,,,1316.5,1192.6
225.5,1429470600,,,,1319,1218.4
223.5778981,1429557000,,,,1320.8,1225.4
229.5778981,1429643400,,,,1311.3,1225.5
238.374,1429729800,,,,1312,1227.8
230.57,1429816200,,,,1312.2,1206.9
230.8736033,1429902600,,,,1312.7,1208.9
223.5778981,1429989000,,,,1310.7,1204.4
211.99835,1430075400,,,,1302.6,1204.3
219.01,1430161800,,,,1303.8,1204.4
219.01,1430248200,,,,1316.2,1207.4
227,1430334600,,,,1320.3,1187.2
241.905406,1430421000,,,,1316.3,1185.9
233.1665,1430507400,,,,1321.2,1188.1
235,1430593800,,,,1331.4,1189.4
239.4042,1430680200,,,,1322.5,1188.3
239.4042,1430766600,,,,1336.7,1194.1
233.1763,1430853000,,,,1346.8,1184.7
240,1430939400,,,,1351.2,1174.9
225,1431025800,,,,1347.2,1167.8
240,1431112200,,,,1347.5,1173.2
249.5324,1431198600,,,,1344.8,1177.3
246.25,1431285000,,,,1338.4,1186.1
240.8868,1431371400,,,,1356.5,1179.9
239.691375,1431457800,,,,1342,1178.8
244.9044404,1431544200,,,,1336.3,1185.3
249.5324,1431630600,,,,1331.9,1180.5
243.3125,1431717000,,,,1324.3,1176.4
243.3125,1431803400,,,,1335.8,1201.5
243.5,1431889800,,,,1332.8,1201.5
240.5,1431976200,,,,1342.1,1183.7
230.5,1432062600,,,,1322.8,1176.2
239.4999981,1432149000,,,,1324.2,1172.6
232.50698,1432235400,,,,1341.3,1171.5
235.8399997,1432321800,,,,1354.4,1172.9
242,1432408200,,,,1349.3,1178.5
238.1739167,1432494600,,,,1326.6,1171.5
234.947125,1432581000,,,,1320.7,1169
241.2502745,1432667400,,,,1311.1,1163
240,1432753800,,,,1316.8,1167.8
237.6956123,1432840200,,,,1311.3,1172.9
237.3546021,1432926600,,,,1316.8,1152.4
234.326575,1433013000,,,,1324.4,1163.3
234.3265939,1433099400,,,,1325.9,1159
233,1433185800,,,,1319.4,1157.7
234,1433272200,,,,1322.4,1155.2
224.4999989,1433358600,,,,1319.9,1153.3
229,1433445000,,,,1326,1147.2
229,1433531400,,,,1333.6,1143.8
226.9999984,1433617800,,,,1318.1,1131.8
230,1433704200,,,,1321.1,1106.7
226,1433790600,,,,1302.9,1103.4
237,1433877000,,,,1315.5,1091.4
230,1433963400,,,,1315.5,1094
229.5,1434049800,,,,1330.7,1085.6
239.9989999,1434136200,,,,1328.2,1096.5
239.9989999,1434222600,,,,1330.6,1096.3
239,1434309000,,,,1330,1092.7
237,1434395400,,,,1328.8,1088.4
240.24,1434481800,,,,1347.8,1094.9
250,1434568200,,,,1350.5,1089.4
245,1434654600,,,,1353.2,1090.7
251.0664374,1434741000,,,,1352.1,1085.7
240.167625,1434827400,,,,1355.5,1090.2
246.5,1434913800,,,,1328.1,1094.1
245,1435000200,,,,1324.2,1104.2
244,1435086600,,,,1313.1,1107.6
237.51305,1435173000,,,,1316.9,1123.2
245.497729,1435259400,,,,1311.6,1115.7
244.7916437,1435345800,,,,1326.1,1112.9
250,1435432200,,,,1333,1118.6
250,1435518600,,,,1333.7,1117.1
251.633025,1435605000,,,,1344.3,1128.1
259.9550359,1435691400,,,,1339,1153
253.6585184,1435777800,,,,1335.4,1159.6
255.8398399,1435864200,,,,1339.8,1153.4
255,1435950600,,,,1351.6,1138.2
257,1436037000,,,,1362.4,1124.6
274.7892801,1436123400,,,,1355.9,1122.4
274.942684,1436209800,,,,1335.7,1133.1
262.8915427,1436296200,,,,1330.9,1131.6
275.729825,1436382600,,,,1331.9,1138.7
267,1436469000,,,,1326,1132.5
282.03522,1436555400,,,,1338,1123.7
293.6473087,1436641800,,,,1335.4,1120.6
305,1436728200,,,,1341.8,1119.9
288.888887,1436814600,,,,1337.4,1119.9
288.888887,1436901000,,,,1333.4,1120.4
292.8475,1436987400,,,,1320.6,1102.2
281.4306652,1437073800,,,,1317.4,1109.5
280.134925,1437160200,,,,1311.7,1103.5
275.519275,1437246600,,,,1318.6,1107.7
272.909025,1437333000,,,,1320.3,1102.8
282.4979827,1437419400,,,,1319.4,1119.2
283.6671895,1437505800,,,,1316.2,1117.3
281.6171568,1437592200,,,,1313.7,1138.1
278,1437678600,,,,1308.7,1133.1
283,1437765000,,,,1306.3,1125
294.1683548,1437851400,,,,1294.1,1131.6
286.9036401,1437937800,,,,1287,1153.8
284.866925,1438024200,,,,1284.1,1146
294.05,1438110600,,,,1277.9,1132
297.5555536,1438197000,,,,1275.4,1127.1
284.6105566,1438283400,,,,1267.3,1115.5
285.049,1438369800,,,,1266.1,1114.2
279.8450225,1438456200,,,,1260.7,1137.1
284,1438542600,,,,1262.2,1138.1
288.6966839,1438629000,,,,1254.3,1146.8
281.46375,1438715400,,,,1253.8,1149
287.5698,1438801800,,,,1245.4,1144.7
282.997225,1438888200,,,,1238.5,1156.3
276,1438974600,,,,1243.7,1164.9
269.8395914,1439061000,,,,1245.2,1165.8
269.7581104,1439147400,,,,1249.8,1180.1
262.1,1439233800,,,,1262.8,1187.9
262.2266189,1439320200,,,,1261.6,1183.6
268.365,1439406600,,,,1274.3,1173.3
269.8772809,1439493000,,,,1278.8,1178
263,1439579400,,,,1273.2,1167.6
262.7554137,1439665800,,,,1282.1,1166.6
259.4129281,1439752200,,,,1294.7,1163.3
262.91545,1439838600,,,,1293.8,1167
254.585,1439925000,,,,1286.7,1166.8
239.1506122,1440011400,,,,1291.66,1177.1
240.3901,1440097800,,,,1291.6,1147.2
238.4697972,1440184200,,,,1281.1,1141.5
226,1440270600,,,,1274.6,1135.8
235,1440357000,,,,1295.8,1114.2
215.8125,1440443400,,,,1277.4,1106.5
210,1440529800,,,,1276.5,1104.4
227.98,1440616200,,,,1281.5,1087.6
224.0329,1440702600,,,,1277.3,1087.9
233.99,1440789000,,,,1272.4,1088.2
223.5947,1440875400,,,,1285.6,1084.7
225,1440961800,,,,1281.6,1080.8
226.1052459,1441048200,,,,1273.7,1080.8
226,1441134600,,,,1279.4,1083.7
232.999999,1441221000,,,,1266.5,1068.7
230,1441307400,,,,1274.9,1068.8
229,1441393800,,,,1274.1,1078
233,1441480200,,,,1267,1076.4
237.1943,1441566600,,,,1274.1,1066.8
245,1441653000,,,,1268.5,1074.3
243.5,1441739400,,,,1266.3,1070.5
236.5,1441825800,,,,1275.4,1070.8
236.5322103,1441912200,,,,1275,1056.2
238,1441998600,,,,1277.7,1065.8
236.7,1442085000,,,,1277.4,1063.8
228,1442171400,,,,1286.9,1054.2
232.9999998,1442257800,,,,1279.9,1061.7
232.9999959,1442344200,,,,1283,1084.5
230.00003,1442430600,,,,1299.9,1076.4
